id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1253064191474315267,1253064191474315267,1587588758000,2020-04-22,16:52:38,Eastern Daylight Time,240334235,mococouncilmd,Montgomery Council,,"🚨📺💻Tune in to Corona Montgomery 10 for all #COVID19 related information and stay informed! 

👀Visit  http://Coronamontgomery.info  for more. pic.twitter.com/MQ87IcENMv",[],['http://Coronamontgomery.info'],[],0,1,0,['#covid19'],[],https://twitter.com/MoCoCouncilMD/status/1253064191474315267,False,,1,DC,,,,,,"[{'user_id': '240334235', 'username': 'MoCoCouncilMD'}]",,,,
1253064012562075650,1253050765066874886,1587588716000,2020-04-22,16:51:56,Eastern Daylight Time,84604482,lekanakinwunmi,Mighty.,,Wtf! Nah why I no Dey watch all this nonsense nollywood...I bet there’s a Corona movie already! 😂😂😂,"['olu_mastermind', 'olayemialfred']",[],[],1,0,0,[],[],https://twitter.com/lekanakinwunmi/status/1253064012562075650,False,,0,DC,,,,,,"[{'user_id': '84604482', 'username': 'lekanakinwunmi'}, {'user_id': '235586637', 'username': 'Olu_Mastermind'}, {'user_id': '59302103', 'username': 'olayemialfred'}]",,,,
1253063963236921344,1252932181447630848,1587588704000,2020-04-22,16:51:44,Eastern Daylight Time,1353697033,syedmuaaz196,Crime Master Gogo,,Clearly looks like you want a dumb reason to start a war?? You cant even take care of our country from this Corona virus and you think you’ll succeed in this war?? You are the first one who’s gonna die if we in the battle field,['realdonaldtrump'],[],[],0,0,0,[],[],https://twitter.com/syedmuaaz196/status/1253063963236921344,False,,0,DC,,,,,,"[{'user_id': '1353697033', 'username': 'syedmuaaz196'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1253063477029228545,1253063477029228545,1587588588000,2020-04-22,16:49:48,Eastern Daylight Time,1120814048701030400,georgiajallas,ge,,"corona stoooop 
you're killing de viibe",[],[],[],0,0,2,[],[],https://twitter.com/GeorgiaJallas/status/1253063477029228545,False,,0,DC,,,,,,"[{'user_id': '1120814048701030400', 'username': 'GeorgiaJallas'}]",,,,
1253063233839063040,1253062721144152064,1587588530000,2020-04-22,16:48:50,Eastern Daylight Time,3662879419,kingmpeace,Mario 🤴🏽,,Corona only threw himself for the picture pinche culo el cabron smh,['cuhris96'],[],[],1,0,0,[],[],https://twitter.com/KingMPeace/status/1253063233839063040,False,,0,DC,,,,,,"[{'user_id': '3662879419', 'username': 'KingMPeace'}, {'user_id': '868961409903730688', 'username': 'Cuhris96'}]",,,,
1253063137571540994,1253007482030448640,1587588507000,2020-04-22,16:48:27,Eastern Daylight Time,852822121,ekimnosnhoj1,Michael Johnson,,I would prefer we create a region for uber conservatives and Trupers. If we had let the South to secede our corona problems would have been short lived. Let's see what happens to former CSA states next month.,['ordinary1world'],[],[],9,0,3,[],[],https://twitter.com/ekimnosnhoj1/status/1253063137571540994,False,,0,DC,,,,,,"[{'user_id': '852822121', 'username': 'ekimnosnhoj1'}, {'user_id': '260947492', 'username': 'Ordinary1World'}]",,,,
1253063117455659010,1253063117455659010,1587588502000,2020-04-22,16:48:22,Eastern Daylight Time,1620815724,chegettingtoit,Shy Che,,corona is holding up my amazon shipments for my Kute Kandles smfh,[],[],[],0,0,0,[],[],https://twitter.com/Chegettingtoit/status/1253063117455659010,False,,0,DC,,,,,,"[{'user_id': '1620815724', 'username': 'Chegettingtoit'}]",,,,
1253063030285484033,1253063030285484033,1587588481000,2020-04-22,16:48:01,Eastern Daylight Time,109097222,captaincurt81,Curt Jarrell,,"Notes from the Corona Chronicles:
---I don't know how the cast of 'Days of Our Lives' get through their scenes without laughing aloud.
---'Inertia' is NOT the name of the oldest daughter in 'The Brady Bunch.'
---Writers ask each other interesting questions on Twitter.",[],[],[],0,1,1,[],[],https://twitter.com/captaincurt81/status/1253063030285484033,False,,0,DC,,,,,,"[{'user_id': '109097222', 'username': 'captaincurt81'}]",,,,
1253062997607616520,1253062997607616520,1587588474000,2020-04-22,16:47:54,Eastern Daylight Time,255856010,sslouise7,s,,"Toby sneezed and now I'm p sure he has corona
 https://www.cnn.com/2020/04/22/health/cats-new-york-coronavirus-trnd/index.html …",[],['https://www.cnn.com/2020/04/22/health/cats-new-york-coronavirus-trnd/index.html'],[],0,0,0,[],[],https://twitter.com/sslouise7/status/1253062997607616520,False,,0,DC,,,,,,"[{'user_id': '255856010', 'username': 'sslouise7'}]",,,,
1253062935779426312,1253062935779426312,1587588459000,2020-04-22,16:47:39,Eastern Daylight Time,1107337766860480513,stayantisocial,#DigitalDiva 😻 Gabbi Gabbi,,I wanna do a photoshoot too y’all but.... corona.,[],[],[],0,0,10,[],[],https://twitter.com/StayAntisocial/status/1253062935779426312,False,,0,DC,,,,,,"[{'user_id': '1107337766860480513', 'username': 'StayAntisocial'}]",,,,
